date,type,price,shares,capital_after,pnl
2023-11-07,buy,34.09406,2932,99970.010864824,
2023-12-20,sell,32.737230000000004,2932,95962.98963731602,-3978.2255599999917
2024-02-27,buy,32.22219,2977,95934.21199942702,
2024-03-26,sell,38.771190000000004,2977,115395.95844963804,19496.37300000002
2024-09-27,buy,27.837809999999994,4144,115361.35048424604,
2024-11-18,sell,29.870099999999997,4144,123746.02573592606,8421.809760000018
2025-02-06,buy,31.501469999999994,3927,123708.91385411906,
2025-03-24,sell,37.79217,3927,148367.9697986421,24703.578900000022
2025-06-12,buy,33.86382999999999,4379,148323.4828851711,
2025-07-02,sell,34.155809999999995,4379,149557.19281757413,1278.580420000013
2025-08-12,buy,37.037,4036,149512.34841797414,
2025-11-20,sell,145.7541,4036,588118.0849536941,438782.21559999994
2026-01-06,buy,171.0709,3436,587941.7450699741,
2026-02-02,sell,147.58227,3436,507082.6845860581,-80706.93268000003
2026-03-18,buy,170.15999,2979,506930.61260299507,
2026-03-23,sell,143.04681,2979,426032.60844889807,-80770.16321999999
2026-05-06,buy,194.85465999999997,2185,425904.8812192681,
2026-05-21,sell,177.57225,2185,388026.4167593932,-37762.0658499999
2026-06-17,buy,245.53528999999997,1579,387910.1066925202,
2026-07-07,sell,244.08567000000002,1579,385505.5333306413,-2288.9499799999176
