,count,mean,std,min,25%,50%,75%,max,skew,kurtosis,cv
open,129.0,18.244108527131782,1.3740284137818422,15.31,17.6,18.45,19.2,20.5,-0.6135586522786496,-0.49523481490702626,7.531354090217407
high,129.0,18.46325581395349,1.3773282349754052,15.54,17.76,18.88,19.4,20.75,-0.6140674996118335,-0.4787318058674108,7.459834001403469
low,129.0,18.03759689922481,1.3452658747401236,15.23,17.32,18.34,18.96,20.23,-0.6764422875556784,-0.45426255409504224,7.458121401958697
close,129.0,18.254883720930234,1.3625063739983188,15.31,17.66,18.55,19.19,20.54,-0.6838110442805218,-0.37829247585112835,7.463791031635713
pre_close,129.0,18.234806201550388,1.3712927869208822,15.31,17.65,18.5,19.19,20.54,-0.6438804169703141,-0.4639535393593026,7.520193917960532
change,129.0,0.020077519379844953,0.30298900589592104,-1.1,-0.15,0.0,0.16,0.99,0.2768773908738651,1.7763417194559517,1509.0958208715765
pct_chg,129.0,0.12787596899224807,1.6795334807420852,-5.7592,-0.8121,0.0,0.905,6.2817,0.41760090975487507,2.033272665759801,1313.4082142078623
vol,129.0,612098.4864341086,340872.8182347686,222382.54,381040.22,493317.92,705108.88,2198570.11,2.0203238833259665,5.4739473794425475,55.68921109747965
amount,129.0,1127768.7695271317,673495.4032990788,388409.768,683478.339,869586.767,1347148.465,4353081.527,2.2339308261547606,6.79576922839296,59.71928124782817
